Year,Money_In_Circ,Money_Printed_billions,Prct_Chnge_Printed,CPI,Purch_Power
2021,2168.081083333333,220.6709999999996,11.33151162606094,267.20300000000003,12.324400690272466
2020,1947.4100833333334,202.3109166666668,11.593089981992444,258.8111666666667,13.290018824574743
2019,1745.0991666666666,83.63516666666669,5.033823583698882,255.65741666666668,14.650022276671
2018,1661.464,106.02133333333313,6.816151800730674,251.10683333333338,15.113588578105416
2017,1555.4426666666668,97.91766666666695,6.718078020388463,245.11958333333334,15.75883114088851
2016,1457.5249999999999,86.0012499999998,6.270489300677418,240.00716666666662,16.46676157641664
2015,1371.52375,92.39633333333336,7.223387766491074,237.01700000000002,17.281290243789073
2014,1279.1274166666667,85.92566666666676,7.201268910866654,236.73616666666666,18.507629778086347
2013,1193.20175,80.4022500000001,7.2252234117646585,232.95708333333332,19.523696083527646
2012,1112.7994999999999,89.35233333333338,8.730527206826988,229.5939166666667,20.63210099093922
2011,1023.4471666666665,77.80524999999989,8.227770853713734,224.93916666666667,21.97858120994033
2010,945.6419166666666,38.2443333333332,4.214727263526785,218.05550000000002,23.058992643709484
2009,907.3975833333334,75.03325000000007,9.01447202807426,214.537,23.643109034068218
2008,832.3643333333333,20.632916666666688,2.5418403480543805,215.3025,25.86637742366824
2007,811.7314166666666,17.70983333333345,2.2303969696877646,207.3424166666667,25.543229251629523
2006,794.0215833333332,32.15383333333318,4.220395643907127,201.5916666666667,25.388688531661458
2005,761.86775,32.51708333333329,4.458360678813844,195.2916666666667,25.633276466508352
2004,729.3506666666667,35.847333333333495,5.16902105733692,188.88333333333335,25.897464959699313
2003,693.5033333333332,39.54341666666653,6.046764588910181,183.95833333333334,26.52594796468174
2002,653.9599166666667,52.866833333333375,8.795115897884376,179.875,27.505508428842283
2001,601.0930833333333,29.073333333333267,5.0825750917399715,177.06666666666663,29.45744537347723
2000,572.01975,36.372583333333296,6.790399650516199,172.19999999999996,30.10385567980825
1999,535.6471666666667,49.98316666666676,10.291717456238626,166.57500000000002,31.09789622086429
1998,485.664,31.821833333333245,7.011651995021739,163.00833333333335,33.56401407832027
1997,453.84216666666674,28.099083333333397,6.600009356190384,160.51666666666665,35.36838981833992
